Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
A0A0C4DGB9	A0A0C4DGB9	A0A0C4DGB9_HUMAN	PPA2	Inorganic pyrophosphatase 2
A0A0C4DH24	A0A0C4DH24	KV621_HUMAN	IGKV6-21	Immunoglobulin kappa variable 6-21
A0A0C4DH25	A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20
A0A0C4DH25;P01619	P01619;A0A0C4DH25	KV320_HUMAN;KVD20_HUMAN	IGKV3-20;IGKV3D-20	Immunoglobulin kappa variable 3D-20
A0A0C4DH29	A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3
A0A0C4DH30	A0A0C4DH30	HV316_HUMAN	IGHV3-16	Probable non-functional immunoglobulin heavy variable 3-16
A0A0C4DH31	A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18
A0A0C4DH31;P23083	P23083;A0A0C4DH31	HV102_HUMAN;HV118_HUMAN	IGHV1-18;IGHV1-2	Immunoglobulin heavy variable 1-18
A0A0C4DH32	A0A0C4DH32	HV320_HUMAN	IGHV3-20	Immunoglobulin heavy variable 3-20
A0A0C4DH33	A0A0C4DH33	HV124_HUMAN	IGHV1-24	Immunoglobulin heavy variable 1-24
A0A0C4DH34	A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28
A0A0C4DH35	A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35
A0A0C4DH36	A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38
A0A0C4DH38	A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51
A0A0C4DH38;A0A0J9YXX1	A0A0C4DH38;A0A0J9YXX1	HV551_HUMAN;HV5X1_HUMAN	IGHV5-10-1;IGHV5-51	Immunoglobulin heavy variable 5-51
A0A0C4DH39	A0A0C4DH39	HV158_HUMAN	IGHV1-58	Immunoglobulin heavy variable 1-58
A0A0C4DH41	P01825;A0A0C4DH41	HV461_HUMAN	IGHV4-61	Immunoglobulin heavy variable 4-61
A0A0C4DH41;P01824;P06331;P0DP08	P01824;P01825;P06331;A0A0C4DH41;P0DP06;P0DP08;A0A0J9YWU9	HV434_HUMAN;HV439_HUMAN;HV461_HUMAN;HVD82_HUMAN	IGHV4-34;IGHV4-38-2;IGHV4-39;IGHV4-61	Immunoglobulin heavy variable 4-61
A0A0C4DH42;P01767	P01767;A0A0C4DH42	HV353_HUMAN;HV366_HUMAN	IGHV3-53;IGHV3-66	Immunoglobulin heavy variable 3-66
A0A0C4DH43	A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D
A0A0C4DH43;P01814	P01814;A0A0C4DH43;A0A0J9YVU5	HV270_HUMAN;HV70D_HUMAN	IGHV2-70;IGHV2-70D	Immunoglobulin heavy variable 2-70D
A0A0C4DH67	A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8
A0A0C4DH68	A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24
A0A0C4DH72	P01597;P01611;P04432;A0A0C4DH72;A0A0C4DH73	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6
A0A0C4DH72;P01599	P01599;A0A0C4DH72	KV106_HUMAN;KV117_HUMAN	IGKV1-17;IGKV1-6	Immunoglobulin kappa variable 1-6
A0A0D9SF30	P13591;A0A087WTF6;A0A087WV75;A0A087WWD4;A0A087WX77;P13591-1;A0A087WWJ5;A0A0D9SF30;A0A0D9SF98	A0A0D9SF30_HUMAN	NCAM1	Neural cell adhesion molecule 1 (Fragment)
A0A0D9SF32	Q9GZZ1;Q9GZZ1-2;A0A0D9SF32;C9J5D1;C9J5J3;C9JZU6;E7EQ69;F8WCK0	A0A0D9SF32_HUMAN	NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit
A0A0G2JMB2	A0A0G2JMB2	A0A0G2JMB2_HUMAN	IGHA2	Immunoglobulin heavy constant alpha 2 (Fragment)
A0A0G2JMI0;A0A0G2JNK8	A0A0G2JLV7;A0A0G2JM94;A0A0G2JMI0;A0A0G2JNK8;A0A0G2JNU6;A0A0G2JP18;A0A0G2JQ50;A0A140T8W3	A0A0G2JMI0_HUMAN;A0A0G2JNK8_HUMAN	LAIR1	Leukocyte-associated immunoglobulin-like receptor 1
A0A0G2JMI3	A0A0G2JMI3	HV692_HUMAN	IGHV1-69-2	Immunoglobulin heavy variable 1-69-2
A0A0G2JPD3;A0A140T8W8;A0A140T8Y4;A0A140T913;A0A140T941;A0A140T975;A0A140T9I0;A0A140T9X5;A0A140T9Z6;A0A1W2PPF8;A0A1W2PQS8;A0A1W2PR61;A0A1W2PS39;B0UXQ0;Q53Z42;Q5RJ27;Q5SPM2;Q9GJ45	A0A0G2JPD3;A0A140T8Y4;A0A140T913;A0A140T9I0;A0A140T9X5;A0A1W2PQS8;A0A1W2PR61;A0A1W2PRT9;B0UXQ0;Q53Z42;Q5RJ27;Q5SPM2;Q9GJ45;A0A140T8W8;A0A140T933;A0A140T941;A0A140T955;A0A140T975;A0A140T9Z6;A0A1W2PPF8;A0A1W2PPQ2;A0A1W2PS39	A0A0G2JPD3_HUMAN;A0A140T8W8_HUMAN;A0A140T8Y4_HUMAN;A0A140T913_HUMAN;A0A140T941_HUMAN;A0A140T975_HUMAN;A0A140T9I0_HUMAN;A0A140T9X5_HUMAN;A0A140T9Z6_HUMAN;A0A1W2PPF8_HUMAN;A0A1W2PQS8_HUMAN;A0A1W2PR61_HUMAN;A0A1W2PS39_HUMAN;B0UXQ0_HUMAN;Q53Z42_HUMAN;Q5RJ27_HUMAN;Q5SPM2_HUMAN;Q9GJ45_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A0G2JPD3;A0A140T8W8;A0A140T8Y4;A0A140T941;A0A140T975;A0A140T9Z6;A0A1W2PPF8;A0A1W2PQS8;A0A1W2PR61;A0A1W2PS39;B0UXQ0;Q5RJ27;Q5SPM2;Q9GJ45	A0A0G2JPD3;A0A140T8Y4;A0A1W2PQS8;A0A1W2PR61;B0UXQ0;Q5RJ27;Q5SPM2;Q9GJ45;A0A140T8W8;A0A140T941;A0A140T975;A0A140T9Z6;A0A1W2PPF8;A0A1W2PS39	A0A0G2JPD3_HUMAN;A0A140T8W8_HUMAN;A0A140T8Y4_HUMAN;A0A140T941_HUMAN;A0A140T975_HUMAN;A0A140T9Z6_HUMAN;A0A1W2PPF8_HUMAN;A0A1W2PQS8_HUMAN;A0A1W2PR61_HUMAN;A0A1W2PS39_HUMAN;B0UXQ0_HUMAN;Q5RJ27_HUMAN;Q5SPM2_HUMAN;Q9GJ45_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A0G2JPD3;A0A140T8W8;A0A140T8Y4;A0A140T975;A0A1W2PPF8;A0A1W2PR61;A0A1W2PS39;Q5RJ27;Q5SPM2;Q9GJ45	A0A0G2JPD3;A0A140T8Y4;A0A1W2PR61;Q5RJ27;Q5SPM2;Q9GJ45;A0A140T8W8;A0A140T975;A0A1W2PPF8;A0A1W2PS39	A0A0G2JPD3_HUMAN;A0A140T8W8_HUMAN;A0A140T8Y4_HUMAN;A0A140T975_HUMAN;A0A1W2PPF8_HUMAN;A0A1W2PR61_HUMAN;A0A1W2PS39_HUMAN;Q5RJ27_HUMAN;Q5SPM2_HUMAN;Q9GJ45_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A0G2JPD3;A0A140T8W8;A0A140T8Y4;A0A140T997;A0A140T9M0;A0A140T9Y5;A0A140TA02;A0A1W2PNR7;A0A1W2PPF8;A0A1W2PR61;D5H3J5;Q2L6G2;Q53YP1;Q5SPM2;S6AU73	Q2L6G2;A0A0G2JPD3;A0A140T8Y4;A0A140T9M0;A0A140T9W2;A0A1W2PNZ7;A0A1W2PR61;D5H3J5;D9J307;Q53YP1;Q5SPM2;S6AU73;A0A140T8W8;A0A140T953;A0A140T997;A0A140T9T1;A0A140T9U0;A0A140T9Y5;A0A140TA02;A0A140TA11;A0A140TA13;A0A140TA14;A0A1W2PNR7;A0A1W2PPF8	A0A0G2JPD3_HUMAN;A0A140T8W8_HUMAN;A0A140T8Y4_HUMAN;A0A140T997_HUMAN;A0A140T9M0_HUMAN;A0A140T9Y5_HUMAN;A0A140TA02_HUMAN;A0A1W2PNR7_HUMAN;A0A1W2PPF8_HUMAN;A0A1W2PR61_HUMAN;D5H3J5_HUMAN;Q2L6G2_HUMAN;Q53YP1_HUMAN;Q5SPM2_HUMAN;S6AU73_HUMAN	HLA-A;HLA-B;HLA-C	HLA class I histocompatibility antigen, A alpha chain
A0A0G2JPR0;A0A140TA49	A0A0G2JPR0;A0A140TA49	A0A0G2JPR0_HUMAN;A0A140TA49_HUMAN	C4A	Complement C4-A
A0A0G2JQI2;A0A0G2JR43;A0A0G2JRJ6;A0A0G2JS19	A0A0G2JM16;A0A0G2JNL3;A0A0G2JQT8;A0A0G2JR97;A0A0G2JRA1;A0A0G2JS65;A0A0G2JSC3;A0A0G2JQC6;A0A0G2JQI2;A0A0G2JQJ2;A0A0G2JQK9;A0A0G2JR43;A0A0G2JRC8;A0A0G2JRD8;A0A0G2JRE6;A0A0G2JRJ6;A0A0G2JRS2;A0A0G2JRY3;A0A0G2JS19;A0A0G2JSB4;A0A0G2JSD9	A0A0G2JQI2_HUMAN;A0A0G2JR43_HUMAN;A0A0G2JRJ6_HUMAN;A0A0G2JS19_HUMAN	MUC4	Mucin-4
A0A0G2JQT1;A0A0G2JR96	A0A0G2JQT1;A0A0G2JR96	A0A0G2JQT1_HUMAN;A0A0G2JR96_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1 (Fragment)
A0A0G2JRQ6	A0A0G2JRQ6	A0A0G2JRQ6_HUMAN		Ig-like domain-containing protein (Fragment)
A0A0G2JS06	A0A0G2JS06;A0A0G2JSC0	LV539_HUMAN	IGLV5-39	Immunoglobulin lambda variable 5-39
A0A0J9YVY3	A0A0J9YVY3	HV741_HUMAN	IGHV7-4-1	Immunoglobulin heavy variable 7-4-1
A0A0J9YWL0	A0A0J9YWL0;A0A494C1M5	A0A0J9YWL0_HUMAN	CRYBG1	Crystallin beta-gamma domain containing 1
A0A0J9YWN2	A0A0C4DH70;A0A0J9YWN2	A0A0J9YWN2_HUMAN	IGHJ2	Immunoglobulin heavy joining 2 (Fragment)
A0A0J9YX35	A0A0J9YX35	HV64D_HUMAN	IGHV3-64D	Immunoglobulin heavy variable 3-64D
A0A0J9YXJ0;E9PC62	A0A0J9YXJ0;E9PC62	A0A0J9YXJ0_HUMAN;E9PC62_HUMAN	CELF2	CUGBP Elav-like family member 2
A0A0J9YXQ4	A0A0J9YXQ4	PMA6E_HUMAN	PNMA6E	Paraneoplastic antigen Ma6E
A0A0J9YXX1	A0A0J9YXX1	HV5X1_HUMAN	IGHV5-10-1	Immunoglobulin heavy variable 5-10-1
A0A0J9YY99	P01768;P01772;P0DP03;A0A0J9YY99	A0A0J9YY99_HUMAN		Ig-like domain-containing protein (Fragment)
A0A0S2Z377;E5RK69	A0A0S2Z377;E5RK69	A0A0S2Z377_HUMAN;E5RK69_HUMAN	ANXA6	Annexin (Fragment)
A0A0S2Z471	P12277;A0A0S2Z471;G3V461;G3V4N7	A0A0S2Z471_HUMAN	CKB	creatine kinase (Fragment)
A0A0S2Z471;G3V461	P12277;A0A0S2Z471;G3V461;G3V4N7	A0A0S2Z471_HUMAN;G3V461_HUMAN	CKB	creatine kinase (Fragment)
A0A0U1RQJ0	A0A0U1RQJ0	A0A0U1RQJ0_HUMAN	DDX17	DEAD-box helicase 17 (Fragment)
A0A0U1RQJ2	Q03001;F8W9J4;Q03001-14;Q03001-8;A0A0U1RQJ2;A0A7P0T890;E7ETB9;E9PHM6;F6QMI7;Q5T0V7	A0A0U1RQJ2_HUMAN	DST	Dystonin
A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7;A0A8I5KT99;A0A8I5KV92	A0A0U1RQK7_HUMAN;A0A8I5KT99_HUMAN;A0A8I5KV92_HUMAN	EIF4G3	Eukaryotic translation initiation factor 4 gamma 3
A0A0U1RQL8	A0A0U1RQL8	A0A0U1RQL8_HUMAN	GSN	Gelsolin (Fragment)
A0A0U1RRE5	A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association
A0A0U1RRI9	P47897;P47897-2;A0A1B0GVU9;A0A0U1RQE9;A0A0U1RQM8;A0A0U1RQT0;A0A0U1RRI9;C9J165	A0A0U1RRI9_HUMAN	QARS1	Glutaminyl-tRNA synthetase 1 (Fragment)
A0A0U5Q247	A0A0U5Q247	A0A0U5Q247_HUMAN	HLA-DQB1	HLA class II histocompatibility antigen, DQ beta 1 chain
A0A140T902	A0A140T902;A0A140TA33	A0A140T902_HUMAN	TNXB	Tenascin-X
A0A140T902;A0A140T9C0	A0A140T902;A0A140T9C0;A0A140TA33;A0A140TA41;A0A140T923	A0A140T902_HUMAN;A0A140T9C0_HUMAN	TNXB	Tenascin-X
A0A140T913;A0A140T9I0;A0A140T9X5;Q53Z42	A0A140T913;A0A140T9I0;A0A140T9X5;A0A1W2PRT9;Q53Z42;A0A140T933;A0A140T955;A0A1W2PPQ2	A0A140T913_HUMAN;A0A140T9I0_HUMAN;A0A140T9X5_HUMAN;Q53Z42_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A140T930	A0A140T912;A0A1W2PP77;A0A1W2PRZ0;O78179;A0A140T930;A0A140T937	A0A140T930_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
A0A140T941;A0A140T9Z6;A0A1W2PQS8;B0UXQ0	A0A1W2PQS8;B0UXQ0;A0A140T941;A0A140T9Z6	A0A140T941_HUMAN;A0A140T9Z6_HUMAN;A0A1W2PQS8_HUMAN;B0UXQ0_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A140T997;A0A140T9Y5;A0A140TA02;A0A1W2PNR7;D5H3J5;Q2L6G2;S6AU73	Q2L6G2;A0A140T9A9;A0A140T9G0;A0A140T9H3;A0A140T9S9;D5H3J5;D9J307;S6AU73;A0A140T953;A0A140T997;A0A140T9Y5;A0A140TA02;A0A140TA11;A0A140TA13;A0A140TA14;A0A1W2PNR7	A0A140T997_HUMAN;A0A140T9Y5_HUMAN;A0A140TA02_HUMAN;A0A1W2PNR7_HUMAN;D5H3J5_HUMAN;Q2L6G2_HUMAN;S6AU73_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain (Fragment)
A0A140T997;A0A140T9Y5;D5H3J5;Q2L6G2	Q2L6G2;D5H3J5;D9J307;A0A140T953;A0A140T997;A0A140T9Y5;A0A140TA11;A0A140TA13;A0A140TA14	A0A140T997_HUMAN;A0A140T9Y5_HUMAN;D5H3J5_HUMAN;Q2L6G2_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain (Fragment)
A0A140T9D4;Q5SS57	Q5SS57;A0A140T9D4;A0A140TA21	A0A140T9D4_HUMAN;Q5SS57_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain (Fragment)
A0A140T9M0;A2BF26;Q53YP1	A0A0G2JH50;A0A140T9J9;A0A140T9M0;A0A140T9W2;A0A1W2PNZ7;A0A1W2PR11;A0A1W2PRX1;A0A1W2PS56;Q53YP1;Q5QT33;Q5RIP0;A0A0G2JIF0;A0A140T962;A0A140T9B3;A0A140T9U0;A2BF26	A0A140T9M0_HUMAN;A2BF26_HUMAN;Q53YP1_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
A0A140T9M0;Q53YP1	A0A140T9M0;A0A140T9W2;A0A1W2PNZ7;Q53YP1;A0A140T9T1;A0A140T9U0	A0A140T9M0_HUMAN;Q53YP1_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
A0A140T9T6	A0A140T9T6;A0A182DWE9;A0A140T915;A0A140T9Y2	A0A140T9T6_HUMAN	HLA-DPB1	HLA class II histocompatibility antigen, DP beta 1 chain
A0A140T9U8;A2BF26	A0A0G2JH50;A0A140T9H5;A0A1W2PP77;A0A1W2PRX1;A0A1W2PS56;O19617;Q5RIP0;A0A0G2JIF0;A0A140T921;A0A140T9L3;A0A140T9Q4;A0A140T9S7;A0A140T9U8;A0A140TA05;A0A140TA19;A2BF26	A0A140T9U8_HUMAN;A2BF26_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
A0A140TA02;A0A1W2PNR7;S6AU73	D9J307;S6AU73;A0A140T953;A0A140TA02;A0A140TA13;A0A1W2PNR7	A0A140TA02_HUMAN;A0A1W2PNR7_HUMAN;S6AU73_HUMAN	HLA-B	HLA class I histocompatibility antigen, B alpha chain
A0A182DWF4	A0A0G2JJV3;A0A182DWF4;Q5EP54;A0A140T928;A0A140T966;A0A140T9A5;A0A140T9Q1;A0A182DWF5;A0A182DWG2	A0A182DWF4_HUMAN	HLA-DPB1	HLA class II histocompatibility antigen, DP beta 1 chain
A0A182DWH4	P79483;A0A182DWH4	A0A182DWH4_HUMAN	HLA-DRB3	HLA class II histocompatibility antigen, DR beta 3 chain
A0A182DWI3	A0A182DWI3	A0A182DWI3_HUMAN	TXNRD1	thioredoxin-disulfide reductase
A0A1B0GTL5	Q9BXF6;A0A1B0GTL5	A0A1B0GTL5_HUMAN	RAB11FIP5	RAB11 family interacting protein 5
A0A1B0GTR4	A0A1B0GTR4	SPRR5_HUMAN	SPRR5	Putative small proline-rich protein 5
A0A1B0GUI1;A0A7P0TAR5	A0A1B0GUI1;A0A7P0TAR5	A0A1B0GUI1_HUMAN;A0A7P0TAR5_HUMAN	RALGAPA1	Ral GTPase activating protein catalytic subunit alpha 1
A0A1B0GV46;E9PEI6	A0A140TA28;A0A1B0GV46;E9PEI6	A0A1B0GV46_HUMAN;E9PEI6_HUMAN	MUCL3	Mucin like 3
A0A1B0GV68	A0A1B0GV68	A0A1B0GV68_HUMAN	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1
A0A1B0GVF1	A0A1B0GVF1	A0A1B0GVF1_HUMAN		Uncharacterized protein (Fragment)
A0A1B0GVI3	CON_P13645;P13645;A0A1B0GVI3	A0A1B0GVI3_HUMAN	KRT10	Keratin 10
A0A1B0GVI3;CON_ENSEMBL:ENSP00000377550;CON_P02535-1;CON_P08730-1;CON_P13646-1	CON_P13645;CON_P13646-1;CON_P08730-1;CON_P02535-1;CON_Q2M2I5;CON_ENSEMBL:ENSP00000377550;P13645;P13646;Q2M2I5;A0A1B0GVI3;K7ERE3;P13646-2;P13646-3;K7EMD9	A0A1B0GVI3_HUMAN;SWISS-PROT:P02535-1;SWISS-PROT:P08730-1;SWISS-PROT:P13646-1;Tax_Id=9606	KRT10;SWISS-PROT:P02535-1;SWISS-PROT:P08730-1;SWISS-PROT:P13646-1;Tax_Id=9606	Keratin 10
A0A1B0GVI3;CON_P02535-1	CON_P13645;CON_P02535-1;P13645;A0A1B0GVI3	A0A1B0GVI3_HUMAN;SWISS-PROT:P02535-1	KRT10;SWISS-PROT:P02535-1	Keratin 10
A0A1B0GVI3;CON_P02535-1;CON_P08730-1;CON_P13646-1	CON_P13645;CON_P13646-1;CON_P08730-1;CON_P02535-1;CON_ENSEMBL:ENSP00000377550;P13645;P13646;A0A1B0GVI3;K7ERE3;P13646-2;P13646-3;K7EMD9	A0A1B0GVI3_HUMAN;SWISS-PROT:P02535-1;SWISS-PROT:P08730-1;SWISS-PROT:P13646-1	KRT10;SWISS-PROT:P02535-1;SWISS-PROT:P08730-1;SWISS-PROT:P13646-1	Keratin 10
A0A1B0GVW8	A0A1B0GVW8	A0A1B0GVW8_HUMAN	UNC13B	Unc-13 homolog B
A0A1B0GW03	A0A1B0GW03	A0A1B0GW03_HUMAN	PLEKHA6	Pleckstrin homology domain containing A6 (Fragment)
A0A1B0GW05	A0A1B0GW05	A0A1B0GW05_HUMAN	DPY19L1	Dpy-19 like C-mannosyltransferase 1
A0A1B0GW72	A0A1B0GW72	A0A1B0GW72_HUMAN	PLEKHG4B	Pleckstrin homology and RhoGEF domain containing G4B
A0A1B0GWB2	A0A1B0GWB2	PRT1B_HUMAN	PRRT1B	Proline rich transmembrane protein 1B
A0A1C7CYX9	A0A1C7CYX9	A0A1C7CYX9_HUMAN	DPYSL2	Dihydropyrimidinase like 2
A0A1W2PPS5	Q96FN5;A0A1W2PPS5	A0A1W2PPS5_HUMAN	KIF12	Kinesin-like protein
A0A1W2PQR6	Q14108;A0A1W2PQB7;A0A1W2PRS1;A0A1W2PS43;A0A1W2PPX5;A0A1W2PQR6;A0A1W2PRF6	A0A1W2PQR6_HUMAN	SCARB2	Scavenger receptor class B member 2
A0A1W2PQU7;A0A1W2PR46;CON_H-INV:HIT000292931;CON_P08729;CON_Q9DCV7	CON_P19013;CON_Q6NXH9;CON_Q9DCV7;CON_P05787;CON_Q6KB66-1;CON_P08729;CON_Q3KNV1;CON_H-INV:HIT000292931;P05787;P08729;P14136;P19013;Q6KB66;Q6KB66-2;P05787-2;P14136-3;Q6KB66-3;A0A1W2PQU7;A0A1W2PR46;A0A1W2PRT3;A0A1W2PS58;A0A1X7SBR3;A0A1X7SCE1;K7EJU1;K7EPI4;P14136-2	A0A1W2PQU7_HUMAN;A0A1W2PR46_HUMAN;SWISS-PROT:P08729;SWISS-PROT:Q9DCV7;Tax_Id=9606	GFAP;SWISS-PROT:P08729;SWISS-PROT:Q9DCV7;Tax_Id=9606	Glial fibrillary acidic protein (Fragment)
A0A1W2PR46;CON_H-INV:HIT000292931;CON_P08729;CON_Q9DCV7	CON_P19013;CON_Q6NXH9;CON_Q9DCV7;CON_P05787;CON_Q6KB66-1;CON_P08729;CON_Q3KNV1;CON_H-INV:HIT000292931;P05787;P08729;P14136;P19013;Q6KB66;Q6KB66-2;P05787-2;P14136-3;Q6KB66-3;A0A1W2PQU7;A0A1W2PR46;A0A1W2PRT3;A0A1W2PS58;A0A1X7SBR3;A0A1X7SCE1;K7EJU1;K7EPI4;P14136-2	A0A1W2PR46_HUMAN;SWISS-PROT:P08729;SWISS-PROT:Q9DCV7;Tax_Id=9606	GFAP;SWISS-PROT:P08729;SWISS-PROT:Q9DCV7;Tax_Id=9606	Glial fibrillary acidic protein
A0A1W2PR46;CON_P08729	CON_P19013;CON_Q6NXH9;CON_Q9DCV7;CON_P05787;CON_Q6KB66-1;CON_P08729;CON_Q3KNV1;CON_H-INV:HIT000292931;P05787;P08729;P14136;P19013;Q6KB66;Q6KB66-2;P05787-2;P14136-3;Q6KB66-3;A0A1W2PQU7;A0A1W2PR46;A0A1W2PRT3;A0A1W2PS58;A0A1X7SBR3;A0A1X7SCE1;K7EJU1;K7EPI4;P14136-2	A0A1W2PR46_HUMAN;SWISS-PROT:P08729	GFAP;SWISS-PROT:P08729	Glial fibrillary acidic protein
A0A1W2PRG7	A0A1W2PRG7	A0A1W2PRG7_HUMAN	FGD5	FYVE, RhoGEF and PH domain containing 5 (Fragment)
A0A1W2PS58	A0A1W2PS58;K7EPI4	A0A1W2PS58_HUMAN	GFAP	Glial fibrillary acidic protein (Fragment)
A0A1W2PSE7	Q5SUL5;A0A0G2JIF2;A0A0G2JL56;A0A1W2PSE7;A0A0G2JI36;A0A1W2PQD0	A0A1W2PSE7_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain
A0A286YFM8	O43175;A0A286YF22;A0A2C9F2M7;A0A286YER3;A0A286YF34;A0A286YFA2;A0A286YFB2;A0A286YFC8;A0A286YFF3;A0A286YFK5;A0A286YFL2;A0A286YFM8	A0A286YFM8_HUMAN	PHGDH	Phosphoglycerate dehydrogenase (Fragment)
A0A2R8Y4K8	A0A2R8Y4K8	A0A2R8Y4K8_HUMAN	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1
A0A2R8Y4Z8	A0A2R8Y4Z8	A0A2R8Y4Z8_HUMAN	CCDC9	Coiled-coil domain containing 9
A0A2R8Y5B3	O43491;A0A2R8Y5B3;E9PHY5;E9PII3;E9PK52;O43491-2;O43491-3;O43491-4;A0A994J5B1	A0A2R8Y5B3_HUMAN	EPB41L2	Erythrocyte membrane protein band 4.1 like 2 (Fragment)
A0A2R8Y6A7	A0A2R8Y6A7	A0A2R8Y6A7_HUMAN	SERPINB6	Serpin family B member 6 (Fragment)
A0A2R8Y6F8;A0A2U3TZN6	A0A2R8Y6F8;A0A2U3TZN6	A0A2R8Y6F8_HUMAN;A0A2U3TZN6_HUMAN	CASK	Calcium/calmodulin dependent serine protein kinase
A0A2R8Y783	P11171;A0A2U3TZH6;A0A2R8Y7Y3;A0A2R8YD30;P11171-2;A0A3B3ITP0;P11171-3;P11171-4;P11171-5;P11171-6;A0A2R8Y783	A0A2R8Y783_HUMAN	EPB41	Erythrocyte membrane protein band 4.1 (Fragment)
A0A2R8Y793	P60709;P63261;A0A2R8Y793;A0A6Q8PFE4;A0A804GS07;E7EVS6;I3L4N8	A0A2R8Y793_HUMAN	ACTB	Actin beta (Fragment)
A0A2R8Y793;A0A2R8YEA7	P60709;P63261;A0A2R8Y793;A0A2R8YEA7;A0A6Q8PFE4;A0A804GS07;E7EVS6;I3L1U9;I3L3I0;I3L4N8	A0A2R8Y793_HUMAN;A0A2R8YEA7_HUMAN	ACTB	Actin beta (Fragment)
A0A2R8Y793;A0A6Q8PGD7;C9JUM1	P60709;A0A2R8Y793;A0A2R8YGF8;A0A6Q8PGD7;A0A6Q8PH58;C9JTX5;C9JUM1;C9JZR7;E7EVS6;G5E9R0	A0A2R8Y793_HUMAN;A0A6Q8PGD7_HUMAN;C9JUM1_HUMAN	ACTB	Actin beta (Fragment)
A0A2R8Y793;C9JUM1;K7EM38	P60709;P63261;A0A2R8Y793;A0A2R8YGF8;A0A6Q8PFE4;A0A6Q8PH58;A0A804GS07;C9JUM1;C9JZR7;E7EVS6;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38	A0A2R8Y793_HUMAN;C9JUM1_HUMAN;K7EM38_HUMAN	ACTB;ACTG1	Actin beta (Fragment)
A0A2R8Y793;K7EM38	P60709;P63261;A0A2R8Y793;A0A2R8YGF8;A0A6Q8PFE4;A0A6Q8PH58;A0A804GS07;E7EVS6;G5E9R0;I3L1U9;I3L3I0;I3L3R2;I3L4N8;J3KT65;K7EM38	A0A2R8Y793_HUMAN;K7EM38_HUMAN	ACTB;ACTG1	Actin beta (Fragment)
A0A2R8Y7X9	P69891;P69892;A0A2R8Y7X9	A0A2R8Y7X9_HUMAN		Globin family profile domain-containing protein
A0A2R8Y872	A0A1W2PRK2;A0A2R8Y872;A0A1B0GU57	A0A2R8Y872_HUMAN	TDRD12	Tudor domain containing 12
A0A2R8YCW8	P11171;A0A2R8Y570;A0A2R8Y5G2;A0A2R8Y5Z6;A0A2R8Y6G5;A0A2R8YFR9;A0A2U3TZH6;A0A3B3IU06;A0A2R8Y7N0;A0A2R8Y7Y3;A0A2R8YD30;P11171-2;P11171-7;A0A1B0GWG0;A0A2R8Y420;A0A2R8Y6D0;A0A2R8YCW8;A0A3B3ITP0;A0A3B3IUD6;P11171-3;P11171-4;P11171-5;P11171-6;A0A2R8Y4N6;A0A994J847	A0A2R8YCW8_HUMAN	EPB41	Erythrocyte membrane protein band 4.1
A0A2R8YE63	Q12929;A0A2R8Y4W2;A0A2R8YE63;Q12929-2	A0A2R8YE63_HUMAN	EPS8	Epidermal growth factor receptor pathway substrate 8
A0A2R8YEA7	A0A2R8YEA7	A0A2R8YEA7_HUMAN	ACTB	Actin beta (Fragment)
